AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.249944,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981605361,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34630000, 407.32400000, 459.86850000)","(-0.13076940, 0.14598570, 0.02431139, 0.98030430)",True,"(0.24282840, -0.42309570, 0.87292480)",True,"(0.02636949, 0.01015811, -0.03470776)",True,"(0.51281790, -0.17582110, 0.84030040)","(431.36100000, 407.32500000, 459.82620000)",True,0.00408373,True
0.258276,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981613693,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34620000, 407.32300000, 459.86850000)","(-0.13074080, 0.14564100, 0.02453556, 0.98035380)",True,"(0.24270630, -0.42416380, 0.87243650)",True,"(0.02636949, 0.01014406, -0.03463686)",True,"(0.51222010, -0.17684310, 0.84045050)","(431.36090000, 407.32390000, 459.82630000)",True,0.00408333,True
0.266607,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981622024,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34610000, 407.32210000, 459.86840000)","(-0.13071210, 0.14529630, 0.02475971, 0.98040310)",True,"(0.24032590, -0.42504880, 0.87266540)",True,"(0.02636949, 0.00999724, -0.03401908)",True,"(0.50964520, -0.17752310, 0.84187140)","(431.36100000, 407.32300000, 459.82680000)",True,0.00409549,True
0.274939,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981630356,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34600000, 407.32100000, 459.86840000)","(-0.13068340, 0.14495160, 0.02498387, 0.98045230)",True,"(0.24104310, -0.42492680, 0.87252810)",True,"(0.02636949, 0.00999724, -0.03401908)",True,"(0.50984350, -0.17729650, 0.84179900)","(431.36090000, 407.32200000, 459.82680000)",True,0.00409496,True
0.28327,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981638687,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34590000, 407.32010000, 459.86830000)","(-0.13065470, 0.14460690, 0.02520801, 0.98050130)",True,"(0.19573970, -0.44255070, 0.87510680)",True,"(0.02655853, 0.01021324, -0.03469922)",True,"(0.46830300, -0.19400680, 0.86200570)","(431.36080000, 407.32110000, 459.82600000)",True,0.00405676,True
0.291602,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981647019,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34560000, 407.31800000, 459.86830000)","(-0.13010770, 0.14400840, 0.02597574, 0.98064200)",True,"(0.21844480, -0.43473820, 0.87365720)",True,"(0.02653349, 0.01012517, -0.03441272)",True,"(0.48838230, -0.18701610, 0.85235430)","(431.36060000, 407.31910000, 459.82640000)",True,0.00404694,True
0.299933,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981655350,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34530000, 407.31590000, 459.86830000)","(-0.12954280, 0.14340100, 0.02676211, 0.98078470)",True,"(0.22302250, -0.42886350, 0.87539670)",True,"(0.02652147, 0.01003709, -0.03412621)",True,"(0.49215350, -0.18127160, 0.85142560)","(431.36040000, 407.31700000, 459.82670000)",True,0.00404538,True
0.308265,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981663682,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34500000, 407.31370000, 459.86830000)","(-0.12897760, 0.14279330, 0.02754854, 0.98092610)",True,"(0.22865300, -0.42936710, 0.87368770)",True,"(0.02652547, 0.00999139, -0.03390674)",True,"(0.49655590, -0.18255010, 0.84859160)","(431.36030000, 407.31500000, 459.82690000)",True,0.00405592,True
0.316597,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981672014,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34480000, 407.31170000, 459.86830000)","(-0.12847200, 0.14237560, 0.02822746, 0.98103380)",True,"(0.23648070, -0.42846680, 0.87205510)",True,"(0.02652948, 0.00999431, -0.03392065)",True,"(0.50320870, -0.18236630, 0.84470330)","(431.36000000, 407.31300000, 459.82690000)",True,0.00406033,True
0.324928,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981680345,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34480000, 407.30990000, 459.86830000)","(-0.12822070, 0.14276800, 0.02844849, 0.98100330)",True,"(0.24035640, -0.42729190, 0.87156680)",True,"(0.02653287, 0.01001570, -0.03402344)",True,"(0.50744600, -0.18159680, 0.84233080)","(431.36000000, 407.31130000, 459.82670000)",True,0.00404584,True
