AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.258276,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574737965,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88990000, 406.99790000, 460.26290000)","(0.76196360, -0.11900050, 0.60193770, 0.20717470)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.266608,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574746297,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89090000, 406.99670000, 460.26250000)","(0.76081950, -0.12372940, 0.60067910, 0.21220110)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.27494,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574754629,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89200000, 406.99560000, 460.26200000)","(0.75963700, -0.12845200, 0.59939030, 0.21721680)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.283271,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574762960,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89300000, 406.99440000, 460.26150000)","(0.75841640, -0.13316700, 0.59807130, 0.22222040)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.291603,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574771292,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89420000, 406.99350000, 460.26050000)","(0.75717510, -0.13460650, 0.59620890, 0.23043820)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.299934,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574779623,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89550000, 406.99260000, 460.25950000)","(0.75587620, -0.13561480, 0.59423320, 0.23905350)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.308266,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574787955,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89680000, 406.99160000, 460.25840000)","(0.75451610, -0.13661220, 0.59220900, 0.24765110)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.316597,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574796286,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89810000, 406.99070000, 460.25740000)","(0.75309520, -0.13759840, 0.59013740, 0.25622670)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.324929,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574804618,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.89940000, 406.98990000, 460.25590000)","(0.75302090, -0.13772240, 0.58722080, 0.26299000)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.33326,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574812949,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.90080000, 406.98930000, 460.25380000)","(0.75498010, -0.13658630, 0.58309960, 0.26710310)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
